,tox21-ahr-p1,tox21-ap1-agonist-p1,tox21-ar-bla-antagonist-p1,tox21-ar-mda-kb2-luc-agonist-p3,tox21-ar-mda-kb2-luc-antagonist-p1,tox21-ar-mda-kb2-luc-antagonist-p2,tox21-are-bla-p1,tox21-aromatase-p1,tox21-car-agonist-p1,tox21-car-antagonist-p1,tox21-elg1-luc-agonist-p1,tox21-er-bla-antagonist-p1,tox21-er-luc-bg1-4e2-agonist-p4,tox21-er-luc-bg1-4e2-antagonist-p1,tox21-er-luc-bg1-4e2-antagonist-p2,tox21-erb-bla-antagonist-p1,tox21-erb-bla-p1,tox21-err-p1,tox21-esre-bla-p1,tox21-fxr-bla-agonist-p2,tox21-fxr-bla-antagonist-p1,tox21-gh3-tre-antagonist-p1,tox21-gr-hela-bla-antagonist-p1,tox21-h2ax-cho-p2,tox21-hdac-p1,tox21-hre-bla-agonist-p1,tox21-hse-bla-p1,tox21-mitotox-p1,tox21-nfkb-bla-agonist-p1,tox21-p53-bla-p1,tox21-pgc-err-p1,tox21-ppard-bla-agonist-p1,tox21-ppard-bla-antagonist-p1,tox21-pparg-bla-antagonist-p1,tox21-pr-bla-agonist-p1,tox21-pr-bla-antagonist-p1,tox21-rar-antagonist-p2,tox21-ror-cho-antagonist-p1,tox21-rxr-bla-agonist-p1,tox21-sbe-bla-agonist-p1,tox21-sbe-bla-antagonist-p1,tox21-shh-3t3-gli3-agonist-p1,tox21-shh-3t3-gli3-antagonist-p1,tox21-vdr-bla-agonist-p1,tox21-vdr-bla-antagonist-p1,tox21-dt40-p1_653,tox21-dt40-p1_100,tox21-dt40-p1_657,tox21-rt-viability-hepg2-p1,tox21-rt-viability-hek293-p1
MaxEStateIndex,0.5614375841168675,-29.85118770156862,-1.2286140348764287,-12.75122997080956,-13.9146351365512,-10.257862309309756,-18.87822205622375,2.2824102342804036,-8.640458169255178,-2.6431013961366143,18.282623476621367,9.88838268135359,-3.7552779197107857,-5.261720988538038,1.7807933999144527,-7.278569411705409,-22.576174976412126,-2.5765410324263356,2.9126149501488716,22.77850050570459,-19.560073883030892,-12.258257396724417,0.4838744447423764,-14.084182176792698,43.54634559430141,-2.261217808564374,-11.295395753091114,-11.714478946402599,12.05190129686455,-17.218517239752504,2.4829354748091164,-0.4120803366330154,-5.789484609535753,-16.572537776774812,-16.19769203398546,-19.797891364204588,6.937558287676771,-4.29897859175884,-11.466966556992855,-13.287578435409992,-38.16389121401867,-7.129110686902522,-5.0533128993352605,-11.306232518932338,-23.003413150016975,-8.077616582449213,-0.22922812689556368,-4.544007388588879,9.884624380096122,-9.769096786127177
MinEStateIndex,0.34204590759368597,0.38209139262130576,-0.06335161348501654,0.293876778290089,0.31162944467012244,0.12319639427918959,-0.39079125236228246,0.09840377143646231,0.06320988548997113,0.16327076082420788,-0.2608236194268743,0.14134470618079165,0.3543227429255426,0.7210511977214025,-0.053456560715456694,-0.021663305673244995,-0.06478724112594897,-0.028652652411035442,-0.2930175751699371,0.10947236809628291,0.1007734064516746,0.09960596546237796,-0.18037361195044332,-0.2410907045259765,-1.6976042503768216,0.14411636193208133,-0.8031490348501281,0.338945017018215,-0.26908575221367825,0.3999728044269274,-0.04388693756155295,-0.057799605010473896,-0.1909808227372,-0.18832368825420365,0.19574932495994513,-0.05678878249584535,-0.2390176149252916,0.23179051571760576,-0.2799901487882385,-0.8178100150032686,-0.3224264279884817,0.056666156069332806,-0.003774470417421708,0.021784217044677624,-0.06603597868090376,-0.1045126419425809,-0.19223897736032639,-0.15357468372422922,-0.3072721458620509,0.016728054174574868
MaxAbsEStateIndex,-0.7672000208936144,29.565251507046582,1.0298030941893295,12.262754138988388,13.466692780835338,9.688670431558418,18.656655324711906,-2.5286596175093914,8.268901487004188,2.2299457644496603,-18.128392143487684,-9.721747089609922,3.494863758936312,4.6630733031255645,-1.410824223606505,7.035319298619279,22.308095868506538,2.2499383732263465,-3.120334564469877,-22.589256507770457,19.177838783123573,11.992513118605503,-1.0639392694806096,13.671788646436314,-40.313751362531896,1.8318106537336791,11.197301284088645,12.087723508034067,-11.30976085183968,17.279759906116062,-2.8950661396826773,0.19423299863665391,5.609917084763501,16.21718310996963,15.950563805882773,19.87129841780432,-7.533668860651384,3.9849595536907696,11.258293229773903,12.348238990675448,37.817583597039324,6.912139114586204,4.722375950039678,11.292863137223405,22.678745128927815,8.065408104882732,0.2419808942576025,4.455353258356868,-10.332097861685261,9.517681017623811
MinAbsEStateIndex,0.13073612280514865,0.6159743859374978,0.47478111998324257,0.23260033801294147,0.20981234880945018,0.20234045405935747,0.4727750559958083,0.5375408351520202,0.10377467872812923,-0.0006750894925573605,-0.24365902253845606,-0.5134555809174974,0.4363780198677457,-0.13254221364312263,-0.21956029309277572,0.15104615270360253,0.20014378444550282,0.25547905117492464,0.7312589854080634,-0.2722918284862729,0.35592663892441195,0.37579475373945265,0.3154426956871867,0.38974943405810797,-0.5871944584905847,0.22752820273416574,0.6568214423918441,-0.3777253026585404,-0.4835971313200251,0.579152821379184,0.2847243403417766,0.4565498486439348,0.366006674528539,0.8500021877916498,0.3044653993116108,0.08993326016256017,0.43628265458038584,0.2063186121086952,0.13024641475350096,0.5783235594140087,0.9310598002939722,0.36625845134581664,0.24614400909604325,0.26642348632194224,0.4184023200093348,0.16573455900676215,0.0593405580785382,0.21754939852335542,0.3461225850409895,0.23548578739969056
qed,0.2854461149177909,-0.02623993403412989,0.11319675528748502,0.007126078814035819,0.0958783708035736,0.20801121966852432,0.27877022836644394,0.06816144901016817,0.1448941093118427,0.04813846176824811,-0.5138291233102193,-0.19297817030668105,-0.052310552862930744,0.25128491233638517,-0.34661984585671934,-0.10079192946829742,-0.15723188466767513,0.03760978995463975,0.2143372214939878,-0.19319698968145163,0.2232274943849857,-0.02670177144251065,0.2651492918044079,0.04010762978677279,-0.7435685783719012,0.17282908195273095,0.16054619175980578,0.4511269808792627,-0.05069953510134522,0.28209298895652657,-0.032395680307123226,0.10972502731552711,0.1268595886764056,0.29888994992776347,-0.09685333480501958,-0.08517214708331189,0.029305604958234525,0.1328440786585061,0.023068172510251096,0.05724853070221416,-0.08292280882344379,0.05011877773048362,-0.04821720436542056,0.038068115959597915,-0.02072174752716235,-0.22162363665961446,-0.19849333044448567,-0.15602483290096616,0.10381220788936882,-0.21937685037916688
MolWt,-12.833876818598297,91.15284797785193,-0.6396010499312934,-2.3408232776871425,-10.838613168824585,18.070470326915284,-20.869791442770794,15.89590688855976,-9.08500341994707,1.6786922584318522,6.15033831850811,3.27032104404523,-6.468351958746136,19.362038321757943,7.562194343004122,-0.557776219593173,-4.150581832961915,-1.8130113437670552,4.358754134341704,1.9735544701543968,-3.1681490021548564,-0.18831967835243926,-0.7546416076632373,94.17905707118916,-47.962787092724376,0.03593292123928804,38.70522842685621,-7.93876177941331,-9.03795202178722,18.461395059887927,6.988971682075138,-0.3562983493316478,-0.8024156770854731,0.5393818435901482,-2.2155794999736864,-34.45210390600455,0.11536711291443338,-3.6792872817754585,9.55485865278053,150.65300470914383,119.53432003827966,-28.04310887488484,-3.2594026480729057,0.7539752877947415,63.24895955785849,31.767150224108182,-0.5335950167920206,21.88331683321846,-0.5981204844381182,64.05527702999011
HeavyAtomMolWt,54.939637787159086,132.76083545892794,2.568533177813484,77.75531453553981,94.1270777104763,77.20029391060979,118.88440371087756,60.57489661558826,50.35749224594861,14.728329449037767,-69.24371995602922,-13.499464112789951,32.3308317721886,32.265471419411796,-8.23444476366762,8.58909051209506,108.02835940778843,13.23187500560158,16.47236423103744,-7.9053359974922115,61.51788324687148,26.023490569653568,2.600936080375778,43.515084935613494,-86.53060748707766,1.169495894110595,62.08342646551548,-45.72260426241159,-19.352625620051867,79.7732804351188,38.952677680736784,-0.6057130207606449,7.784037742375756,20.522388141223782,6.203097950000991,48.79418367167787,10.407432340292715,28.088307567958203,71.47812905630555,112.51816429400434,41.54219428514244,3.4707728098542443,26.593859231204238,15.964854504570445,17.46491719352019,27.713104471432082,-0.3063742360757385,32.07661815193419,20.36391757722796,80.82276583593998
ExactMolWt,-40.89724591028317,-218.2896601776078,-2.8955560232479947,-76.23234188854983,-85.31281575785803,-92.2760238802995,-104.65709728543634,-73.00991335352305,-40.07356804075085,-12.770242503992863,64.29356209357152,5.978379008630877,-21.923775114161568,-48.66534867372833,-1.378915143756194,-5.7133023933274965,-110.31482439488728,-11.077956022663972,-16.939304516863956,5.285290260190056,-59.09995101695093,-22.48646517595489,-1.3590855973275018,-138.1680369266629,111.6485692381368,-0.8622188064053559,-98.69039265931947,45.973111072765214,21.931482425856597,-104.32286458731183,-45.18883931724816,-0.5869689501637431,-5.754062659581688,-20.54940529615381,-4.045816218175838,-16.529300072373367,-4.740184506549867,-23.11977354159474,-81.80084382611052,-265.12948077011924,-156.52968892760927,30.684888125983072,-20.21187749908447,-15.81909447635138,-75.99573268354997,-59.17248610673052,-1.0810112031320915,-54.70903699561301,-23.823269486679305,-146.64856033482647
NumValenceElectrons,-21.106373759085606,-14.368864266771201,-5.54292463113364,-4.329393367653507,-16.325152783718398,-19.263191246500554,3.6247945857514794,-11.772357917447739,-18.858861436307535,-16.71453812840561,4.255738522790832,6.733736417854182,-29.359148687795436,-10.824074519426087,27.57836094123703,-12.918120451031866,10.170762148110034,-7.357424195610238,-19.174888035146047,11.209836080111874,-9.66823687456634,-14.681791243415784,-11.294996225433154,-2.5525351157071334,-67.3073147122481,-10.03453025679757,-20.03279500882701,28.46112198414273,24.198731709456382,-3.9105516042655593,-15.902006960700305,0.6242393154766098,-10.604586599810725,-23.75123572316658,-5.7297289247658965,-4.21761977686922,-14.443894698708357,-18.907163936675794,-5.314139663727904,-36.67013732566679,-47.949681893256425,-25.749827242609115,-19.88922677830354,-6.633941171891358,-32.25600188354395,-20.463883121391987,-0.6589087546704008,-16.392701674994957,-6.587436801181519,-2.8711622317842243
NumRadicalElectrons,0.016858359262680856,0.3959010832187564,0.043359721081078356,0.054527246832158836,-0.033675280666518634,0.07621246279634039,0.020798396936894076,-0.1447589878147409,0.11940265286866447,0.0347169896357218,0.012924558843530646,-0.4318565701179859,0.03706032287142169,-0.13545560997873954,-0.12861036443895388,-0.024225103531799335,0.021876121470386166,0.04754745683185177,0.558069267455491,-0.02712665742980863,0.12180486144940775,-0.16717195399642493,0.09962008947432849,0.27980506948155703,-1.5742761438547965,0.10907856265174,-0.01595231727602349,-0.1806285707223357,-0.46967421873805215,-0.030457814874045554,0.09529208996170757,0.06767069995264033,0.0734652411171274,0.06754733654816293,0.029016445747603918,0.08901792575137624,0.6076277112115724,1.1289503076027327,-0.062454592210827005,0.254140536443081,0.1797285746287699,0.0742018068846997,0.1017701533477586,0.268875236976478,-0.010084735295063861,-0.006596954728697317,-0.0777711481170672,0.0024295264960220424,0.14734649937459265,0.02314969659911367
