,tox21-ahr-p1,tox21-ap1-agonist-p1,tox21-ar-bla-antagonist-p1,tox21-ar-mda-kb2-luc-agonist-p3,tox21-ar-mda-kb2-luc-antagonist-p1,tox21-ar-mda-kb2-luc-antagonist-p2,tox21-are-bla-p1,tox21-aromatase-p1,tox21-car-agonist-p1,tox21-car-antagonist-p1,tox21-elg1-luc-agonist-p1,tox21-er-bla-antagonist-p1,tox21-er-luc-bg1-4e2-agonist-p4,tox21-er-luc-bg1-4e2-antagonist-p1,tox21-er-luc-bg1-4e2-antagonist-p2,tox21-erb-bla-antagonist-p1,tox21-erb-bla-p1,tox21-err-p1,tox21-esre-bla-p1,tox21-fxr-bla-agonist-p2,tox21-fxr-bla-antagonist-p1,tox21-gh3-tre-antagonist-p1,tox21-gr-hela-bla-antagonist-p1,tox21-h2ax-cho-p2,tox21-hdac-p1,tox21-hre-bla-agonist-p1,tox21-hse-bla-p1,tox21-mitotox-p1,tox21-nfkb-bla-agonist-p1,tox21-p53-bla-p1,tox21-pgc-err-p1,tox21-ppard-bla-agonist-p1,tox21-ppard-bla-antagonist-p1,tox21-pparg-bla-antagonist-p1,tox21-pr-bla-agonist-p1,tox21-pr-bla-antagonist-p1,tox21-rar-antagonist-p2,tox21-ror-cho-antagonist-p1,tox21-rxr-bla-agonist-p1,tox21-sbe-bla-agonist-p1,tox21-sbe-bla-antagonist-p1,tox21-shh-3t3-gli3-agonist-p1,tox21-shh-3t3-gli3-antagonist-p1,tox21-vdr-bla-agonist-p1,tox21-vdr-bla-antagonist-p1,tox21-dt40-p1_653,tox21-dt40-p1_100,tox21-dt40-p1_657,tox21-rt-viability-hepg2-p1,tox21-rt-viability-hek293-p1
MaxEStateIndex,9.48987265173487,0.01017327492059176,0.39126920461625814,-1.0667375669151924,-7.733872761187245,-4.421489840460921,-0.8895480853810008,2.6156700598169462,-6.4022761524820675,-0.06243985870340374,0.2329534886557355,0.121800023497002,-0.2002879940076444,-0.1556730610684143,0.21335679556848267,-0.027851699665325778,-0.02811126077628576,0.22602820454867875,-0.1534186630232686,0.06323147578359793,-0.22676248269896412,-3.217432201728712,-0.14347071919835452,-0.2422198980920895,0.07260547929411604,-11.173144326312988,-5.795455592326273,0.0014693381956059862,0.19081236203599716,-0.14062188468112133,-0.07566139726807858,-9.109134934272356,-0.061476380157489526,-0.10039411193993238,-0.0471882523022619,-9.220338176229642,-3.7940274643143233,0.5744617015144909,-1.1453818025873277,-0.16997967555596907,-0.1944723432164616,0.6164736676980649,0.25119077747674023,-8.26360963131779,-0.10100971120143684,-0.041469249157142604,-2.8028344314464113,-0.013729117625079076,-13.427824086530318,-13.511251027940284
MinEStateIndex,0.26441650423286045,0.010044947876061172,-0.2124524766504753,0.21393726066929197,0.3314974269804489,0.10101033421849524,-0.33341663634068175,-0.15111780010649487,0.043820380875588434,-0.015737061860841683,-0.22068426000536173,0.028270941037861413,0.3301862421235195,-0.05048564156127094,-0.019177009244801167,0.0515098458623938,-0.01110075430928391,0.19796332631122301,0.04343355395417051,0.12212555830942311,-0.03864617448032082,0.14077031375248428,0.05046499462655839,-0.19103447886059424,-0.019534532622747004,0.15366244724485523,-0.4032430476333437,-0.004041542866253278,0.04088163668927506,0.07027049703369276,0.05885453987258014,-0.11127847163647545,-0.04377181425611945,0.05012863531474214,0.009896631388561283,-0.06127366688117598,-0.24052220203088526,-0.081299208980865,0.09238769206780076,-0.06956122732088396,-0.2549460186340765,0.1351579972937495,0.028295021723968982,-0.17040883098295315,-0.0029242623334121633,-0.15703705619150407,-0.1735529095108732,-0.16138692801816468,-0.12182715258519485,0.06832524263236607
MaxAbsEStateIndex,-9.622146701389434,0.010240784085759179,-0.4566055181698725,0.7706143130663552,7.639520237397698,4.013010517505879,0.7499627089189874,-2.8940768077676817,6.039042107988743,-0.18487642822348072,-0.033445193992694404,0.09434351686146186,-0.1881737535374567,-0.21953017217747853,0.29338285219253885,-0.0266632021816855,-0.012969363024071109,-0.5982771098505997,-0.14771871487020188,0.006226762659409501,-0.15978145978757222,2.967434630384902,-0.15428530328884907,-0.21073806143432125,0.06556597564984559,10.876266250923813,5.529733050657899,0.0014923856786354024,0.18799948611118594,-0.0740423617986197,-0.08948270486654376,9.009413922590024,-0.07099994208004033,-0.0793342886989777,0.027355633147259504,9.24258162351903,3.0785199379164587,-0.7843832047758378,1.0054511351362756,-0.19088937443591647,-0.17230810566267452,-0.7894186215962798,-0.49346650854293717,8.115939166671819,-0.07740082243558627,-0.09200639097505983,2.78986638585295,-0.07089845985922137,13.002946421663605,13.152236174373073
MinAbsEStateIndex,0.26348087670319104,0.031417817335617146,0.4164927603085918,0.27304281744264297,0.1162043574937622,0.17344297453021854,0.5101590111330643,0.48344757858239834,0.16464726394198698,0.13063320470254772,-0.3732625545494997,-0.32199354011378145,0.24688111655543246,0.14392314393626834,-0.15368962413938847,0.21171809344616668,0.3373155582332774,0.26876277594340614,0.5602256354936997,-0.6856819639024628,0.17175198633406627,0.3452503912827183,0.37038642121178433,0.2850169229094715,-0.17822069858324843,0.3980977271307682,0.5684089450392174,-0.0034098932606698423,-0.20578605428126426,0.17871936547618758,0.1658654549518417,0.39605165354953703,0.45083466856558585,0.5321868069809309,0.17620769293524113,0.1492154736915063,0.3907422695100547,0.4401320842777038,0.24872583780503368,0.3774887760839811,0.16548006120531814,0.40512824450330037,0.2111250093127469,0.3723289710335184,0.2315076708049275,0.2094132950193472,0.14435217449608198,0.19508266909240912,0.07443761155368676,0.26226349044986363
qed,0.35316401130179065,0.005052444314345576,0.0533159630169267,0.10782752414884697,0.13090125576447684,0.17309240274251558,0.22339652257723158,0.15724549638525653,0.25759870288605474,0.16106193294828786,-0.4176259909545257,0.007828594301735128,0.09396109907599895,0.328749446802504,-0.4783284743288878,0.011857387442743107,-0.0673034725042694,0.07453504346498674,0.12260548580406425,-0.22671305812525971,0.2337970122572409,-0.0642814585035372,0.20840630317295214,-0.06664614305427095,-0.10647497680743298,0.18890892234673573,0.05669943743591672,0.0025905104845013694,-0.09794297892398063,0.1786147486281437,0.03697877907956742,0.09721499548920545,0.09694051952014647,0.16795271622811625,-0.13945710909401082,-0.18701206081268545,-0.06420095409252899,0.11287575878626954,0.026356348096144684,0.08773706507021577,0.028007500638042054,0.15285034921762072,0.056472069256667715,0.08510064055319408,0.1206521965546203,-0.20915181814707534,-0.2274271413228999,-0.13364450272892672,-0.11160638341437197,-0.22442833379133587
MolWt,8.880058409144256,-0.026246692127925797,-1.1442727748880361,-0.6332942518547522,-1.1482151739899724,0.6393251411607194,-0.31584340743820466,0.2832030595774161,0.8139255765953709,-0.41650121506057813,-0.1214752115734551,0.3650470048413839,-0.742526986606835,-0.2969889033181534,0.8029524585129866,-0.2012002635665679,-0.2173889282860693,-0.6924309805998754,-0.4735744023452336,0.6026765929539223,-0.6262168829957193,15.818052600428858,-0.2946272146056959,-0.6947041556876035,0.2818825392607933,0.4118562003864153,35.36416674936975,0.007985491502607092,0.17146839760905055,-0.46998646541079203,-0.1938046509565362,0.17647407635954698,-0.16600074186201064,-0.43435776131468945,-0.4686747717308318,-2.1314682002589262,12.06811177006568,-0.016055275704519548,0.5080468721700564,-0.5663195208203163,-0.5677980449051604,-0.12709497145520388,-0.9651688494025892,-1.5830256840226997,-0.5003492213088765,-0.3479577856519432,114.37898688019747,-0.16350223757549323,44.19874708579486,29.86426588185317
HeavyAtomMolWt,34.19947210130586,-0.026248327732937043,69.1738141941439,1.6459141434853348,10.092107622995302,7.759284565339067,1.4776932478493163,2.700481183579381,8.4120354084709,-0.4248567137019774,-1.1048326016697834,0.39759397407443825,-0.40419481360782455,-0.3315443984692,0.8097840269435898,-0.22611590038821103,-0.23616561751734663,-0.39181100651562445,-0.5354027412304556,0.6729907375137851,-0.7009409478780964,54.567328126508336,-0.3438625897360338,-0.7332236653039859,0.3006174172328848,3.969575344448083,61.563489718530704,0.008315833719556538,0.18881299089265396,-0.5279921125922079,-0.20689887691375702,8.678005559502719,-0.17354961206418776,-0.45632085555020857,-0.5593939639880113,5.833162141269461,20.182673048176593,2.0770582858536564,9.768410057239182,-0.6293563829737895,-0.6288509790821563,1.8748196439550429,4.329611733859891,109.22295389746427,-0.5358280636602714,-0.21869622289948434,29.997589607260036,-0.00880798702602735,102.8517514762188,87.05619313890463
ExactMolWt,-40.90626032287457,-0.026265589019145125,-69.23046399106045,-1.7699364387561964,-8.023751397297543,-6.750883852345719,-2.0725326120518672,-2.002943697148838,-5.971400814512414,-0.4765415029613568,0.7841899175243612,0.3914725482075205,-0.8094915801538565,-0.3099970852364451,0.818508803957823,-0.20747455221420416,-0.22559427069604282,-0.8675461523080413,-0.5065356817812627,0.6489845933461603,-0.6561531613112568,-71.48677308227349,-0.3192517476909935,-0.7616297561811676,0.28622301764675384,-3.2780629699152994,-96.82838195627538,0.007979713609764773,0.17520851212106223,-0.5186120518730609,-0.20276226172672426,-8.89527578618392,-0.17301569250740836,-0.4747466028182858,-0.4996327384657434,-6.117803351844045,-32.432593336775184,-1.527388419704072,-8.930790041998149,-0.5981936546379791,-0.6114517681996174,-0.4850430429613434,-1.6191878223125538,-111.54726280415073,-0.5506445399114858,-0.7029239730038578,-144.1832114273354,-0.5160417173936452,-156.92269373028978,-117.60127120365898
NumValenceElectrons,-19.36237674234128,-0.015145867244617625,1.135374280551721,-2.982871316130719,-6.211253255827032,-4.638852881507234,-3.5024455631557663,-1.892381875083072,-11.94307558976042,0.13219554389229343,-0.8201458803112975,-0.20838984541455696,0.27538269880113925,0.2021905091483231,-0.2540248698225056,0.05709922745257302,0.06456311370880037,0.21117659213440873,0.32011946727377905,-0.25018218221516453,0.18402289583846915,2.640278921774722,0.11831209022398817,0.27451740927122537,-0.08148255594206569,-14.007245664522728,-10.370741179769084,0.005385581068255974,-0.06265263112591277,0.29955957526209076,0.01909861382022127,-8.142558066781431,-0.010451086645654353,0.16339797881525459,0.44175419015398826,-0.36434681154914,-8.375313821719848,-2.741388463833368,-8.464719170589166,0.16260134222991424,0.18857716414130898,-2.352039125802872,-12.791972912615545,10.174544444261933,0.11233548524577684,-0.29590360808535976,-19.996446129611883,-0.41780428591835217,10.77268605460443,-0.4155082939029623
NumRadicalElectrons,0.03614916741920569,0.005507283645575895,-0.03346259343381413,0.07439144931660567,-0.016692573653661488,0.0929519967158419,0.09594111864743458,-0.03210141654535227,0.10160676602995525,0.24006361212283645,-0.023131121640292625,-0.22817652252694562,0.09573496472530121,0.04252244673629805,-0.10946942991214358,-0.02033994586013748,-0.06217523559661109,0.08142525690853135,0.1854470178352238,-0.10167921030973398,0.19927382823462392,-0.13814884305903588,0.16632713279547526,0.24573598844410363,-0.17778900820208807,0.06578901473725948,1.5888647153346211,-0.0005135229543547335,-0.10372133188297261,0.011724990549278157,0.12357020925100028,0.129665487495814,0.08058449165176235,0.3323738086370389,0.09113634712076389,0.12593326522330195,0.13300170104656817,0.3293176206653431,0.10615044058551049,0.14650164136986707,0.19274716437905287,-7.601820337817882e-05,0.048857528960584234,0.10868426368192761,0.08053818715324502,-0.024538490994286368,-0.04788371190016633,-0.04227313444074378,0.025854491120977565,0.017641248101184146
MaxPartialCharge,-11.56042689224982,-8.132989401646525e-05,-14.057982553833693,-1.5716422141034732,-5.496836873507667,-7.239545434525083,-2.3619768789537523,-3.9363339487434037,-8.722423886875983,-0.23803224605143433,3.3942811778228164,0.2160114313769611,-0.20502291589432536,-0.013541836578104201,-0.005798051294236877,-0.03323341984732447,-0.04488868194403433,-1.077634692340524,-0.1367052930670357,0.17804960629173838,-0.22035426398099645,-30.820514250236634,-0.1489310367263087,-0.25772656622690876,0.09457062483752199,-8.314941674178467,-15.505008530025165,0.0012880119105005334,0.035413923861327544,-0.219692518853189,-0.024848330771092157,-4.403102458515132,0.04779384689069537,-0.14134171129665646,-0.18039168855840684,-8.340281634878975,-20.39603452120467,-1.504642593266117,-5.479584937182271,-0.2757878711113539,-0.17855575626404027,-2.0969246775507266,-3.023884917757681,-2.5375144864507617,-0.18666616963214122,-0.8782241539916544,-8.847442644743515,-1.3397540894333255,-10.64314770707075,-5.5879165318087605
MinPartialCharge,6.844924684586012,0.05321155624323475,8.368191200066908,1.120652648372923,3.4960203369276637,4.401593177091548,1.3767796080381418,2.5951217224096186,5.293020761418634,0.06088543018380551,-2.4507074231023442,-0.3239405942997349,0.1665423487621524,0.26543837004633114,-0.22986431463443036,0.2011465311228323,0.11982733746311222,0.7472414316776468,-0.0068512857214043914,-0.10269283698330922,0.05383649446120812,17.62861505894143,0.14062322253085605,0.24475329717629987,-0.18716578660895303,4.751045673836984,9.045182519941223,-0.004715093826625071,-0.118690788368957,0.28079670361138953,0.10316420871673704,2.436940017966944,0.22099021249300427,0.1931860669597632,0.32445996345376465,5.147084879992757,12.343579763393764,0.8352392400942013,3.126656567864784,-0.04523905679103267,0.25379070470468296,1.1744518055405808,1.8422189330037457,1.5608354436798595,0.16516360267337948,0.6612968945682267,5.062301510866206,0.9217464760387617,6.011420555030643,3.49394097580099
MaxAbsPartialCharge,10.64878106886587,-0.04274770767245196,12.578295697275232,1.5033185778851934,5.166806652694776,6.650783276000261,1.7443826256426163,3.7529944875656978,8.072868632156949,0.001968554861748177,-3.283724930982929,0.5349082459562758,0.028840956776618593,-0.037858517726509965,0.08686805398377184,-0.2205890281235384,-0.19145492177935566,0.9221383154023582,-0.21816032086793483,0.2708638334885583,-0.28113000260312954,27.88654110857465,-0.40508041116610005,-0.15282993697797784,0.19157271346006072,7.174674308888815,13.516641215758227,0.002695113345784837,0.2264235715249503,-0.13743710883197977,-0.16228613714624704,3.3238449545178907,-0.19666498516603345,-0.3448215943693136,-0.16565634868716517,7.457618235153358,18.38715505086719,1.2757051330382585,4.482657348839683,-0.21167316655839316,-0.07664514899550096,1.745893227754822,2.609460250608576,1.9446210162513176,-0.2867387957774681,0.9048584265928284,7.960712591045649,1.101843226087976,9.374073811528122,5.0461180686624445
MinAbsPartialCharge,6.6500317466429,0.015043832291754414,8.025682279510804,1.3282527789874525,3.376785629376453,4.409398338981537,1.6505159743862508,2.3464558940967652,5.246921509432725,0.3427662165231197,-2.2831666467671683,-0.715096636868168,0.5937897395553023,0.13699942675113716,-0.2634801697187631,0.20552468983811556,0.16034294994251694,1.05521578295994,0.3550583344383406,-0.30414119103644477,0.32154538565362956,17.496224215037856,0.5255176898736392,0.29244839438680076,0.04870635259012337,4.729032800416477,9.17498599383317,0.002493177704430273,-0.23646391409957201,0.3203183694482442,0.22329353318575523,2.701193934263656,0.2118595084209253,0.3443669094854228,0.32953990618937884,5.098246554928416,12.275507458009148,0.8994553169461225,3.2509990407725176,0.47555252486065136,0.11392068389775467,1.4689083446506686,1.7991947523882916,1.6222802232850557,0.3966775505310865,0.7105323984891727,4.959122316138544,0.9987061869640071,6.488052956190341,3.6409842177943967
FpDensityMorgan1,0.578823671666843,0.04936043811848223,-0.5185709902489047,-0.8106662932575763,0.5817121206701604,-0.6062828587384973,-0.4186939016140595,0.17874419587080637,0.15323362081006425,0.0037912247602472737,-0.7017908873136945,-0.6926681466335438,-0.32623081291356304,0.36302628623391436,-0.4392260075560803,0.14118681793772908,0.15784895574547897,0.19331111289753466,0.38518594588133004,0.13084706708155988,-0.14466493436178143,0.0008139013386639696,0.5545228077617936,0.4968397777878498,-0.23903830944327722,-0.026398976440714792,-0.8600940637188724,-0.012531815921856796,-0.20225025143049374,0.37487194797888046,0.04046793824850342,0.5910554119242396,0.07816718378070202,0.2281568134733931,0.39474883220396745,-0.036724028049261455,1.08176789732427,-0.369095887763563,-0.06647138730802271,0.6860971457351053,0.6506202791778097,0.2416166460959962,-0.09965242200297755,-0.7605028004241556,0.46930981644864606,-0.05682984217559074,-0.3355307575589551,-0.31580326521716684,-0.7009446349856586,0.33648544672655717
FpDensityMorgan2,0.23234164982111857,0.047736487770575056,1.973945506078531,2.189963663465802,0.3961887771328786,1.7450201301279793,1.4386789363461823,0.660793385594538,0.7014222783210653,0.2721572472207922,0.21816532379351866,-0.052005379250654675,2.005123876013624,0.16741158237415285,-0.01824467851012417,0.10280647902569164,0.13943783584475627,0.09452762638812331,0.47087475874304097,-0.6129335544291616,0.1493210489799194,0.918606532473651,0.3205617062252112,0.3236313038045817,-0.064557202778056,1.1318622405067738,2.4459193207030188,-0.009746683113040498,-0.1489189833669731,0.23791357832768217,0.09357858120670996,0.17276402534228527,0.14213024768829954,0.2574623700137579,-0.15211795920426707,0.22135968256080502,0.19488902149863951,1.507222356151593,1.4785768261719827,0.23444510564974128,0.0562537690650048,0.15799282663214123,0.5767711073276812,2.694789889645957,0.5106408117275315,0.8315461399947175,1.3741714165757812,1.099335095938878,1.15224114802688,0.010988482674393832
FpDensityMorgan3,-0.5922904674644922,0.03609948118247629,-1.3454795527160117,-1.1485462396063917,-0.51220361087623,-0.7160544644771267,-0.9090355426273825,-0.6421478369474916,-0.5403068284277732,-0.0849920156370535,0.10523084018712259,0.41864205041075914,-1.344218778906667,-0.4005236025990673,0.20013449430957359,-0.17017609586824833,-0.20005008939770663,0.11176527942803866,-0.5393580004850868,0.15222402713193497,0.14284272043206786,-0.8316414465094623,-0.5219669813314463,-0.7047039608968648,0.06086333299186951,-0.7604027245506669,-1.4139226028269922,-0.005107241579207777,0.04971095681216224,-0.32453046690452486,0.09088631823552348,-0.5116707645508789,-0.03501463297236395,-0.23889688949153187,-0.13859791331485732,-0.07117508661538073,-0.5319630885080524,-0.9692429432240903,-1.294544669891122,-0.4252717143381074,-0.3936682235693284,-0.06276440527753029,-0.1321711934731361,-1.7957387242273348,-0.6850499249145741,-0.6679943567335651,-0.9751205662184133,-0.7384858406823742,-0.25111601535920935,0.03215425475488856
BCUT2D_MWHI,-0.07816481145321726,-0.0017405303103126698,0.055812697665169206,0.007015551378902194,-0.06362156123296696,-0.06783459186819225,0.24071471819826623,0.19861705448212896,-0.0403726667727233,0.25999959648303894,0.024738435957558678,-0.14980104052637372,0.19709827417925682,0.1038806654052147,-0.15080463813640863,0.17953052256811503,0.22599282478361127,0.1808867805132624,0.14459202523147074,-0.2643818529106864,0.32096907237364625,0.11480919637946478,0.09592147798655076,0.20050020402954022,-0.14962628373552866,0.11586215208115448,0.19216772041214203,0.0044660896834926465,-0.16715309109058996,0.11191136139309801,0.09388881921207537,0.23463884923486894,0.1416188256951203,0.14360728911471127,0.30390080175281486,0.2572237711173999,0.3415702321308671,-0.029636862449320085,0.2103546276971596,0.13761779370233548,0.10438130508961978,0.09981147248116086,0.1310030050872241,0.012187969133400083,0.2557800711939791,0.11747589803845832,-0.07031778173895241,-0.08570659557544749,-0.3013193296394474,-0.06144824593254513
BCUT2D_MWLOW,0.6032943524503087,0.03467596267172465,0.30020758492660327,0.39955839224100653,0.5896733204156828,0.2896940560445745,0.13969767124610094,0.10318918066233951,1.5747514674681122,0.25534564982628466,-0.39909145970590343,-0.3662378278838863,0.36025141620399825,0.4742248688517362,-0.27165008727948864,0.16141031717999219,0.15742605696940884,0.10900770553129167,0.4415537583394159,-0.17026614951309332,0.34862345413960893,0.5860357438858929,0.9694550952654462,-0.04402698537548383,-0.12003550735879209,0.9496733839310599,0.9952157688219522,-0.0016942407944334184,-0.13218247134476346,0.8145393147209217,0.10921415744564336,0.7774393176024262,0.11494879193293664,0.6579988837146128,0.11647520715076648,0.45891995381961703,0.19182320742496844,0.11939864172818145,0.20533791959235992,0.08684217888163198,0.24538387684893403,0.2939138241877028,0.9763893577856764,0.5417122982325918,0.15417133299621735,-0.10866990207655879,0.5460008966522854,-0.08614167108587634,-0.03632589725913619,1.47737610900664
BCUT2D_CHGHI,0.059959297697021775,-0.0189172003356796,0.3276904042687198,0.30000906197228716,0.2570482532833892,0.3561007532818634,0.45302858901228116,0.09833374147236071,0.3531209466734544,0.17856758009011317,-0.14140730618664973,-0.22330421639652903,0.19725735745862247,0.1845115683015081,-0.31467714784065437,0.24111540778706395,0.33573324494655704,0.29835998828268223,0.188586756890244,-0.3056817700525779,0.514478159891813,0.38885346322572345,0.30273919430136587,0.1407930560004563,-0.01067454237739213,0.5549162018916213,0.25655392998351856,0.004747027318538942,-0.017209318022585237,0.23229624674174007,0.21416982513536512,0.05374976390195205,0.18921208174551984,0.2771510685360384,0.26049285896084917,0.14977025926835277,0.5872862802356514,0.018167069439999524,0.5314495565483565,0.39960845941804357,0.24328958572202644,0.15612149042719184,0.042633642968460256,0.2907116899302588,0.419225029230985,0.1580272076818272,0.036591798673193475,-0.07395664063673132,0.5119937719725,0.3385430244338251
BCUT2D_CHGLO,0.6597686017342929,0.0256663094840189,-0.00915102040266434,0.21877633946511874,0.04180976218311452,0.353987292699589,0.01277918147899382,0.16597808660452876,0.1614753245961416,-0.012260635889876985,-0.10449930400839592,-0.5396076353849608,0.23649257764683165,0.30367804587189234,-0.3870758273195828,0.19354528518608213,0.2087848442029653,0.3002108013151977,0.02283180284652052,-0.021738045247880214,-0.006613063987382224,0.19557935197734555,0.41161506020802724,0.16647324643418837,0.03980987772353418,0.06605553394100945,-6.137605616775663e-05,-0.0019741093953260925,-0.11523037661069184,0.05855349535892966,0.18222211064281227,-0.16961705136669375,0.06386132687093175,0.13387981538683588,0.05669675206248691,-0.06962940248297242,0.13360483063720102,0.04843595182637238,0.15520314158730433,-0.10098875477585065,-0.10938100505065379,0.02206440746105522,-0.0846357918590207,-0.17327110363883366,0.005073146171114684,-0.005893744548880581,0.06866389807884347,0.0037355532303414204,-0.06552108405058465,-0.1938993643758524
BCUT2D_LOGPHI,-0.32559265404441773,-0.03684470863712365,-0.31916748310695214,-0.33040287292239595,-0.479100673491701,-0.46182597318246393,-0.16200052520583738,0.06776093002521098,-0.1558456999863309,-0.20426359332521601,0.2965469933877045,0.09985876971524893,-0.3080324714528459,-0.49496805653660886,0.4248342287293514,-0.1429408786089971,-0.06629544049721325,-0.1447001478644278,-0.2322596568175419,0.32981255031545215,-0.408677931069435,-0.35274697165425983,-0.14797466317484953,-0.25721188251428373,0.19606295432868862,-0.08823450222766023,0.01948283058725501,0.013197998113658314,0.06535209555583263,-0.21446818014336402,4.90503669521694e-06,-0.0755403626777455,-0.15210736456528895,0.0906807231700435,-0.24971368300385607,0.025732708928993417,-0.2675789271536558,0.19811673889259482,-0.33435019649448394,-0.19979812623840054,-0.2592818795752114,-0.2305666008315042,-0.10957318668755538,0.011813693044594613,-0.6528204541385465,-0.3450528463559476,-0.0840638562926968,-0.021889362281506224,-0.21864577303744862,-0.24698923955361832
